"county","2020-03-03 12:00","2020-03-04 12:00","2020-03-05 12:00","2020-03-06 12:00","2020-03-08 12:00","2020-03-09 14:00","2020-03-10 11:30","2020-03-11 14:26","2020-03-12 14:25","2020-03-13 20:36","2020-03-14 14:58","2020-03-15 16:36","2020-03-16 15:15","2020-03-17 15:49","2020-03-18 16:35","2020-03-19 17:52","2020-03-20 14:00","2020-03-21 13:00","2020-03-22 14:00","2020-03-23 14:00","2020-03-24 14:00","2020-03-25 14:00","2020-03026 14:00","2020-03-27 14:00","2020-03-28 13:00","2020-03-29 13:00"
"atlantic",,,,,,,,,,,,,,,"3","3","3","4","5","6","6","9","10","14","17","24"
"bergen",,"1","2","3","3","4","6","10","13","17","25","29","61","84","114","195","249","363","457","609","701","819","1206","1505","1838","2169"
"burlington",,,,,,,"2","2","2","3","3","4","5","5","10","14","17","21","26","36","42","48","64","88","115","142"
"camden",,,,"1","1","1","1","1","1","1","2","2","3","3","8","11","11","15","22","33","51","61","73","95","123","163"
"cape may",,,,,,,,,,,,,,,,"1","1","2","2","2","3","4","6","7","7","9"
"cumberland",,,,,,,,,,,,,,,,,"1","1","1","1","2","3","4","9","11","11"
"essex",,,,,,,,,"1","6","7","11","20","32","45","63","73","107","172","273","342","381","609","826","1086","1227"
"gloucester",,,,,,,,,,,,,,"2","2","3","3","6","8","13","19","23","33","40","51","72"
"hudson",,,,,,,,,"1","3","5","11","19","24","34","55","66","97","126","190","234","260","441","594","771","974"
"hunterdon",,,,,,,,,,,,,"1","4","6","8","11","14","16","18","25","25","39","52","61","66"
"mercer",,,,,,,,,,,"1","1","6","9","15","20","22","30","40","50","58","82","111","131","168","202"
"middlesex",,,,,"2","2","2","2","2","4","10","12","17","22","40","64","76","116","147","210","277","316","505","640","808","938"
"monmouth",,,,,,"2","2","4","5","7","8","12","14","22","32","43","53","92","158","238","288","313","501","634","781","870"
"morris",,,,,,,,,"1","3","3","4","6","7","19","26","35","64","119","177","204","223","315","391","442","566"
"ocean",,,,,,,,,,"1","1","2","3","4","8","33","49","62","102","144","180","222","389","484","624","759"
"passaic",,,,,,"1","1","1","1","2","2","5","8","10","18","38","49","67","95","141","216","255","399","484","608","831"
"salem",,,,,,,,,,,,,,,,,,,"1","1","1","1","2","3","3","3"
"somerset",,,,,,,,,"1","1","1","1","5","7","16","21","28","34","51","67","102","117","179","222","258","295"
"sussex",,,,,,,,,,,,,,,,"2","3","6","12","15","18","27","49","65","81","93"
"union",,,,,,"1","1","1","1","1","1","4","8","15","26","29","43","81","124","189","246","262","432","519","742","896"
"warren",,,,,,,,,,,,,,,,"3","3","5","9","12","15","18","31","38","51","56"
